timestamp,quote_coin,min_price,max_price,min_24h_percent,max_24h_percent,min_buy_ratio,max_buy_ratio,min_1d_open_interest,max_1d_open_interest,positive_funding
1741527485.748186,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741527494.1188369,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741773191.2093632,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741773247.0787623,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741773253.2126927,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741773254.7241976,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741773255.6777868,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741773261.0333476,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741776973.5370355,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741776991.616639,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741777007.355578,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741777036.1457868,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,False
1741777046.1223497,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,False
1741783792.397983,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741783800.3773966,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741783801.2806697,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741783802.0463843,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741783802.8083043,USDT,0.0,1000000000000000.0,-1000000000000000,1000000000000000,0.0,1.0,0.0,1000000000000000.0,None
1741969055.6423094,None,None,None,None,None,None,None,None,None,None
1741969066.1926048,None,None,None,None,None,None,None,None,None,None
1741969077.254145,None,None,None,None,None,None,0.5,None,None,None
1741969089.3144958,None,None,None,None,None,None,0.6,None,None,None
1741969124.4142926,None,None,None,1,None,None,None,None,None,None
1741969138.8955758,None,None,None,5,None,None,None,None,None,None
1741969148.160354,None,None,None,4,None,None,None,None,None,None
